dangerous,危ない（あぶない）,危ない道です。 (This road is dangerous.),abunai
bright,明るい（あかるい）,部屋が明るいです。 (The room is bright.),akarui
sweet,甘い（あまい）,このケーキは甘い。 (This cake is sweet.),amai
shallow,浅い（あさい）,水が浅いです。 (The water is shallow.),asai
"new, fresh",新しい（あたらしい）,新しい本です。 (It’s a new book.),atarashii
warm,暖かい（あたたかい）,手が暖かい。 (My hand is warm.),atatakai
hot (weather and other things),暑い／熱い（あつい）,今日は暑い。 (It's hot today.),atsui
near,近い（ちかい）,"駅が近いです。 (The station is near.) when talking about something near xx, use 'chikaku'",chikai
small,小さい（ちいさい）,犬が小さいです。 (The dog is small.),chiisai
deep,深い（ふかい）,海が深いです。 (The sea is deep.),fukai
old,古い（ふるい）,古いカメラです。 (It’s an old camera.),furui
early / fast (different kanji),早い／速い（はやい）,彼は速い。 (He is fast.) hayaku -> faster,hayai
small (opposite of tall),低い（ひくい）,彼は背が低い。 (He is short.) for person -> sega hikui,hikui
"spacious, large",広い（ひろい）,"広い部屋です。 (It’s a spacious room.) wide/width, not capacity",hiroi
"good, nice (polite version)",良い／よろしい（いい／よろしい）,"これは良い考えです。 (This is a good idea.) negative: yokunai, past: yokatta",ii (yoroshii)
"busy (person, day, ..)",忙しい（いそがしい）,今日は忙しい。 (I am busy today.),isogashii
hurting,痛い（いたい）,頭が痛い。 (My head hurts.),itai
important (serious),重要（じゅうよう）,それは重要です。 (That is important.),juuyou
"cool (person, cars, ...)",良い／よろしい（いい／よろしい）,彼はかっこいいです。 (He is cool.),kakkoī
sad,悲しい（かなしい）,悲しい映画です。 (It’s a sad movie.),kanashii
empty,空（から）,箱が空です。 (The box is empty.),kara
hot,辛い（からい）,このカレーは辛い。 (This curry is spicy.) spicy,karai
light,軽い（かるい）,このバッグは軽い。 (This bag is light.),karui
feels good,気持ち（きもち）,お風呂は気持ちいい。 (The bath feels good.),kimochi ii
scary,怖い（こわい）,怖い映画です。 (It’s a scary movie.),kowai
disgusting (strong!),不味い（まずい）,虫はまずい。 (The bug is gross.) strong word!,mazui
rare,珍しい（めずらしい）,珍しい魚です。 (This is a rare fish.),mezurashii
difficult,難しい（むずかしい）,この問題は難しい。 (This problem is difficult.),muzukashii
long,長い（ながい）,髪が長いです。 (My hair is long.),nagai
"many, much",多い（おおい）,人が多い。 (There are many people.),ooi
tasty (female / male),美味しい／うまい（おいしい／うまい）,ラーメンがおいしい。 (Ramen is tasty.) oishii / umai,oishii / umai
big,大きい（おおきい）,大きい犬です。 (It’s a big dog.) ichiban ookii = biggest,ookii
