last day,きのう,kinō
last week,せんしゅう,sen-shū
last month,せんげつ,sen-getsu
last year,きょねん,kyonen
today,きょう,kyō
this week,こんしゅう,kon-shū
this month,こんげつ,kon-getsu
this year,ことし,kotoshi
tomorrow,あした,ashita
next week,らいしゅう,rai-shū
next month,らいげつ,rai-getsu
day after tomorrow,あさって,asatte
week after tomorrow,さらいしゅう,sarai-shū
month after next,さらいげつ,sarai-getsu
am,ごぜん,gozen
pm,ごご,gogo
weekend,しゅうまつ,shū-matsu
always,いつも,itsumo
often,よく,yoku
sometimes,ときどき,tokidoki
occasionally,たまに,tamani
not very often,あまり .. -ません,amari.. -masen
never,ぜんぜん ..  -ません,zenzen.. -masen
hour(s),-じ,-ji
minute(s),-ふん,-fun / -pun
year,-ねん,-nen
month,-がつ,-gatsu
"day (number, after 10)",-にち,-nichi
day (of the week),ようび,-yōbi
from (time),から,kara
until,まで,made
morning,あさ,asa
noon,ひる,hiru
evening,ばん,ban
night,よる,yoru
